object_id,Time (MJD),Flux,Flux_err,Filter
Eluwaith_Druadan_cuin,61328.542,-0.97500732,0.43258751,i
Eluwaith_Druadan_cuin,62917.8418,-0.09995246,0.14226881,g
Eluwaith_Druadan_cuin,63016.3834,0.30497254,0.53626932,i
Eluwaith_Druadan_cuin,63140.1921,-0.25709439,0.7222881,i
Eluwaith_Druadan_cuin,63155.3524,-0.62197492,0.74195445,u
Eluwaith_Druadan_cuin,63155.3524,0.13866226,0.2304431,r
Eluwaith_Druadan_cuin,63160.4058,0.08648343,0.20902499,i
Eluwaith_Druadan_cuin,63173.0393,-0.87282148,0.48783077,r
Eluwaith_Druadan_cuin,62917.8418,-0.25245402,0.36512512,u
Eluwaith_Druadan_cuin,63175.566,-0.27587077,0.25797741,g
Eluwaith_Druadan_cuin,63178.0928,-0.37846527,0.29834662,i
Eluwaith_Druadan_cuin,63198.3064,-0.32224707,0.36683512,r
Eluwaith_Druadan_cuin,63198.3064,-0.01751952,0.40758547,i
Eluwaith_Druadan_cuin,63208.4133,0.05418579,0.16506521,g
Eluwaith_Druadan_cuin,63208.4133,0.09794747,0.16061752,r
Eluwaith_Druadan_cuin,63213.4667,0.02561304,0.3580857,u
Eluwaith_Druadan_cuin,63226.1002,1.03590069,0.83286019,z
Eluwaith_Druadan_cuin,63175.566,0.16606172,0.25671615,r
Eluwaith_Druadan_cuin,62907.7349,-0.35980682,0.39647685,i
Eluwaith_Druadan_cuin,62907.7349,0.0422712,0.32819057,r
Eluwaith_Druadan_cuin,62900.1548,-1.34499936,1.53987995,y
Eluwaith_Druadan_cuin,62824.3535,1.60489729,0.15381395,g
Eluwaith_Druadan_cuin,62824.3535,3.84621977,0.19110713,r
Eluwaith_Druadan_cuin,62831.9337,3.12256454,0.19948909,r
Eluwaith_Druadan_cuin,62831.9337,3.15433304,0.330682,i
Eluwaith_Druadan_cuin,62834.4604,-0.07886986,0.39932565,u
Eluwaith_Druadan_cuin,62834.4604,0.81862009,0.13571094,g
Eluwaith_Druadan_cuin,62834.4604,2.64499498,0.147648,r
Eluwaith_Druadan_cuin,62836.9871,2.39706055,0.33067875,i
Eluwaith_Druadan_cuin,62839.5138,2.433232,0.28722809,i
Eluwaith_Druadan_cuin,62844.5672,1.77029155,0.50487811,r
Eluwaith_Druadan_cuin,62844.5672,1.18361477,0.43395612,i
Eluwaith_Druadan_cuin,62857.2008,0.56056377,0.33791059,u
Eluwaith_Druadan_cuin,62857.2008,0.02069891,0.08992393,g
Eluwaith_Druadan_cuin,62864.7809,0.62116934,0.13879806,r
Eluwaith_Druadan_cuin,62887.5213,0.26342727,0.1859304,r
Eluwaith_Druadan_cuin,62887.5213,0.03228917,0.27127626,i
Eluwaith_Druadan_cuin,62900.1548,0.17716043,0.51895236,z
Eluwaith_Druadan_cuin,63226.1002,0.30996874,1.33683598,y
Eluwaith_Druadan_cuin,63228.6269,-0.69713304,0.53466898,i
Eluwaith_Druadan_cuin,63241.2605,-0.00813301,0.43924507,u
Eluwaith_Druadan_cuin,63241.2605,0.13124382,0.15861525,g
Eluwaith_Druadan_cuin,63587.4195,-0.37615358,0.34213882,i
Eluwaith_Druadan_cuin,63622.7935,-0.35957045,0.37307246,u
Eluwaith_Druadan_cuin,63622.7935,-0.06037641,0.09759459,g
Eluwaith_Druadan_cuin,63632.9003,0.47833562,0.36876516,u
Eluwaith_Druadan_cuin,63632.9003,-0.15069241,0.17349782,g
Eluwaith_Druadan_cuin,63635.427,1.06252699,0.45682116,z
Eluwaith_Druadan_cuin,63635.427,-0.73348663,1.42268309,y
Eluwaith_Druadan_cuin,63640.4804,-0.30124971,0.2990406,i
Eluwaith_Druadan_cuin,63643.0071,1.34150033,1.51635736,y
Eluwaith_Druadan_cuin,63683.4345,0.75520812,0.49658846,u
Eluwaith_Druadan_cuin,63683.4345,-0.13833788,0.18138701,r
Eluwaith_Druadan_cuin,63693.5413,0.75101594,0.58428175,z
Eluwaith_Druadan_cuin,63693.5413,-1.41753713,1.36631205,y
Eluwaith_Druadan_cuin,63698.5947,0.08899072,1.68904288,y
Eluwaith_Druadan_cuin,63739.0221,0.23227749,0.40633699,i
Eluwaith_Druadan_cuin,63746.6022,0.58581574,0.72929433,u
Eluwaith_Druadan_cuin,63746.6022,-0.28219222,0.22862236,r
Eluwaith_Druadan_cuin,63587.4195,0.21347799,0.23611613,r
Eluwaith_Druadan_cuin,62819.3001,3.74417057,0.39806147,i
Eluwaith_Druadan_cuin,63572.2593,-0.20030635,0.25514025,r
Eluwaith_Druadan_cuin,63559.6258,-0.47152652,0.48317403,i
Eluwaith_Druadan_cuin,63251.3673,0.00284587,0.15243258,r
Eluwaith_Druadan_cuin,63256.4207,-0.31881371,0.45369768,i
Eluwaith_Druadan_cuin,63279.1611,-0.20011713,0.15996076,r
Eluwaith_Druadan_cuin,63279.1611,0.38005793,0.23939246,i
Eluwaith_Druadan_cuin,63286.7412,-0.60917696,1.31188658,y
Eluwaith_Druadan_cuin,63291.7946,-0.0326569,0.40614686,r
Eluwaith_Druadan_cuin,63312.0083,0.43994296,0.39346026,i
Eluwaith_Druadan_cuin,63312.0083,-0.41342335,0.68668425,z
Eluwaith_Druadan_cuin,63322.1151,-0.24791152,0.28816814,r
Eluwaith_Druadan_cuin,63322.1151,0.25729441,0.32803496,i
Eluwaith_Druadan_cuin,63382.7561,-0.21777855,0.88238506,i
Eluwaith_Druadan_cuin,63519.1984,-0.22895037,0.20023379,r
Eluwaith_Druadan_cuin,63529.3052,0.31903292,0.54564285,i
Eluwaith_Druadan_cuin,63531.832,-0.03129729,0.10568033,g
Eluwaith_Druadan_cuin,63531.832,-0.03985387,0.1870257,r
Eluwaith_Druadan_cuin,63554.5723,-0.13037081,0.5324442,i
Eluwaith_Druadan_cuin,63554.5723,-0.4785775,0.74283262,z
Eluwaith_Druadan_cuin,63572.2593,0.15469756,0.15594224,g
Eluwaith_Druadan_cuin,62819.3001,4.20672805,0.24786264,r
Eluwaith_Druadan_cuin,63213.4667,-0.07112147,0.13119354,g
Eluwaith_Druadan_cuin,62569.156,-0.95729092,0.57072946,u
Eluwaith_Druadan_cuin,61720.1819,-0.23534535,0.38234429,i
Eluwaith_Druadan_cuin,61727.762,-0.3638729,0.26270133,r
Eluwaith_Druadan_cuin,61747.9757,0.15192239,0.21531077,i
Eluwaith_Druadan_cuin,61753.0291,0.29953439,0.9706607,y
Eluwaith_Druadan_cuin,61765.6626,0.1386496,0.22292721,u
Eluwaith_Druadan_cuin,61765.6626,0.13792852,0.0850715,g
Eluwaith_Druadan_cuin,61780.8229,0.8757162,0.45768061,z
Eluwaith_Druadan_cuin,61780.8229,0.9221683,1.0809691,y
Eluwaith_Druadan_cuin,61788.403,0.76628862,0.27709851,i
Eluwaith_Druadan_cuin,61801.0366,-0.30178413,0.25363386,u
Eluwaith_Druadan_cuin,61801.0366,0.22154141,0.07254399,g
Eluwaith_Druadan_cuin,61813.6701,0.55184973,0.60560618,z
Eluwaith_Druadan_cuin,61813.6701,1.57631284,1.12426519,y
Eluwaith_Druadan_cuin,61818.7235,-0.06247652,0.18085691,r
Eluwaith_Druadan_cuin,61818.7235,0.0755007,0.2698007,i
Eluwaith_Druadan_cuin,61838.9372,0.22145632,0.2759879,r
Eluwaith_Druadan_cuin,61838.9372,-0.56001837,0.29840878,i
Eluwaith_Druadan_cuin,61538.2589,1.4124168,1.44847253,y
Eluwaith_Druadan_cuin,61856.6241,-0.44472575,0.24542692,r
Eluwaith_Druadan_cuin,61538.2589,-0.27946723,0.70909971,z
Eluwaith_Druadan_cuin,61495.3048,1.21706161,0.47715069,z
Eluwaith_Druadan_cuin,61376.5495,0.16073588,0.16062337,r
Eluwaith_Druadan_cuin,61376.5495,-0.05836244,0.22596144,i
Eluwaith_Druadan_cuin,62569.156,0.17657545,0.20811499,r
Eluwaith_Druadan_cuin,61409.3967,-0.0653905,0.33242403,i
Eluwaith_Druadan_cuin,61409.3967,0.73301954,0.53608945,z
Eluwaith_Druadan_cuin,61427.0837,1.29255,1.11097439,y
Eluwaith_Druadan_cuin,61434.6638,0.05290439,0.14610963,g
Eluwaith_Druadan_cuin,61439.7172,0.14814068,0.20590988,r
Eluwaith_Druadan_cuin,61442.2439,0.17487683,0.16371875,r
Eluwaith_Druadan_cuin,61447.2973,0.25879976,0.31527501,u
Eluwaith_Druadan_cuin,61447.2973,0.05524768,0.11015957,g
