object_id,Z,Z_err,EBV,SpecType,English Translation,split,target
Dornhoth_fervain_onodrim,3.049,,0.11,AGN,Trawn Folk (Dwarfs) + northern + Ents (people) ,split_01,0
Dornhoth_galadh_ylf,0.4324,,0.058,SN II,Trawn Folk (Dwarfs) + tree + drinking vessel ,split_01,0
Elrim_melethril_thul,0.4673,,0.577,AGN,Elves +  lover (fem.)  + breath,split_01,0
Ithil_tobas_rodwen,0.6946,,0.012,AGN,moon +  roof  +  noble maiden,split_01,0
Mirion_adar_Druadan,0.4161,,0.058,AGN," jewel, Silmaril  + father + Wild Man ",split_01,0
Mirion_lalaith_neledh,1.197,,0.054,AGN," jewel, Silmaril  + laughter + enter, go in ",split_01,0
Rochirrim_lebdas_pethron,0.1806,,0.153,SN Ib,Horse.Lords (People)  +   index finger  + narrator,split_01,0
acharn_lend_Mithrim,0.1887,,0.051,AGN,"vengeance + journey, way + Sindar",split_01,0
achas_iar_gaur,1.238,,0.046,AGN,achas + blood + werewolf,split_01,0
aduial_nur_luith,2.201,,0.012,AGN,"evening, twilight  + race + spell",split_01,0
amath_gwador_helegnen,0.7056,,0.009,AGN,shield wall  + sworn brother + frozen,split_01,0
amlug_loss_ang,3.45,,0.042,AGN," snake, serpent + snow + iron",split_01,0
amon_imloth_luin,0.7766,,0.055,TDE,"hill, steep-sided mount  +  flowering valley  + blue",split_01,1
andrann_puig_fern,0.3568,,0.019,SN Ia," age, cycle  +  clean, tidy, neat  + dead",split_01,0
ang_cugu_harad,0.7503,,0.016,AGN,iron + dove + south,split_01,0
ang_neledh_aith,0.2095,,0.118,SN II,"iron + enter, go in  + point of spear ",split_01,0
angos_rusc_curunir,0.215,,0.049,AGN,horror + fox  + wizard,split_01,0
annon_adab_lossen,2.736,,0.03,AGN,"gate, door  + building, house + snowy",split_01,0
araf_hub_faun,0.2929,,0.012,SN Ia,"wolf + harbour, haven, small landlocked bay  + cloud",split_01,0
aras_ryn_manadh,0.3513,,0.03,SN Ia,"deer + hound of chase  + final end, fate, fortune",split_01,0
badhor_graw_aiglos,1.206,,0.013,AGN,"judge + bear + plant, bush",split_01,0
badhor_magol_merilin,1.429,,0.062,AGN,judge + sword + nightingale,split_01,0
badhor_onodrim_alagos,0.2254,,0.03,AGN,judge + Ents (people)  + storm of wind,split_01,0
baneth_pilin_tachol,0.3759,,0.019,SN Ia,"beauty + arrow + brooch, pin",split_01,0
bragol_bronwe_lagor,0.8324,,0.052,AGN,sudden + endurance + swift,split_01,0
bragol_nothrim_gas,0.2525,,0.226,SN II,sudden + family + hole,split_01,0
celair_aerlinn_aes,0.1663,,0.222,SN II,brilliant + hymn +  cooked food,split_01,0
cirion_ira_Ithil,0.3325,,0.023,SN Ia,"sailor, shipman  + desire + moon",split_01,0
corch_faun_min,0.5925,,0.014,SN Ia,crow + cloud + peak,split_01,0
corf_Mirion_toll,0.5084,,0.058,AGN,"ring +  jewel, Silmaril  +  island",split_01,0
cuin_haudh_cenedril,0.5366,,0.013,AGN,"alive + burial mound, barrow, grave, tomb  + mirror",split_01,0
cuin_law_amon,0.4769,,0.067,SN Ia,"alive + no! don't!  + hill, steep-sided mount ",split_01,0
dam_corch_agar,0.5287,,0.205,AGN,"hammer + crow + glory, brilliance, glitter",split_01,0
dirnaith_achas_noroth,0.8448,,0.021,AGN,man-spearhead (wedge formation in battle)  + achas + giant,split_01,0
drafn_araf_ryn,0.3243,,0.01,TDE," hewn, log + wolf + hound of chase ",split_01,1
eilian_pilin_fang,0.1536,,0.05,SN II,rainbow + arrow + beard,split_01,0
eilian_pod_firiel,0.09443,,0.016,SN II,rainbow + foot (of an animal)  + mortal maiden,split_01,0
elu_rusc_nath,0.826,,0.042,TDE,pale blue  + fox  + web,split_01,1
elvellon_fast_annon,0.4599,,0.05,SN Ia,"Elf-friend +  shaggy hair + gate, door ",split_01,0
ennorath_guldur_aear,0.6832,,0.008,AGN,"lands of Middle-earth + dark sorcery + ocean, sea ",split_01,0
erchion_ungol_aduial,0.3355,,0.01,SN Ia-pec,"orkish + spider + evening, twilight ",split_01,0
espalass_melethron_ungol,1.203,,0.017,AGN,water-fall +  lover (masc.) + spider,split_01,0
espalass_nestad_hul,0.6164,,0.029,AGN,water-fall + healing +  cry of encouragement in battle ,split_01,0
fae_haeron_merilin,0.5845,,0.008,SN Ia,"soul, spirit  + far, distant  + nightingale",split_01,0
fang_ira_nell,0.3245,,0.036,SN Ia-pec,beard + desire + bell,split_01,0
fast_ang_lebenedh,0.7811,,0.018,AGN, shaggy hair + iron + middle finger ,split_01,0
fast_celeb_bregedur,0.1706,,0.285,AGN, shaggy hair + silver + wildfire,split_01,0
firiel_lend_mithril,2.401,,0.07,AGN,"mortal maiden + journey, way +  true-silver, metal ",split_01,0
fuin_bragol_talraph,0.2981,,0.013,AGN,"darkness, gloom, night, dead of night  + sudden +  stirrup",split_01,0
galad_thangail_pethron,0.3175,,0.055,AGN," light (bright), sunlight, brilliance, radiance, glittering reflection  + shield wall, shield fence  + narrator",split_01,0
gas_cair_gondrath,0.1668,,0.015,SN II,hole + ship + causeway,split_01,0
gas_glaur_daen,0.1746,,0.025,SN Ia,hole + golden light  + corpse,split_01,0
gaurwaith_Ithil_rhach,0.1758,,0.508,AGN,outlaws (wolf-people) + moon + curse,split_01,0
gli_lembas_galadhrim,0.4442,,0.012,SN Ia,"honey + way-bread, journey-bread  + people of the Trees, Elves of Lórien ",split_01,0
gond_aduial_suil,0.09786,,0.023,SN II,"rock, great stone + evening, twilight  + hail ",split_01,0
gond_pent_Dornhoth,0.3305,,0.082,SN II,"rock, great stone + story + Trawn Folk (Dwarfs)",split_01,0
gondrath_saer_rach,0.8341,,0.094,AGN,"causeway + bitter  + wagon, wain ",split_01,0
graw_heledir_lunt,1.032,,0.02,AGN,bear +  kingfisher (bird) + boat,split_01,0
graw_idhren_narthan,0.8373,,0.018,AGN,"bear + pondering, wise, thoughtful + beacon, fire-sign ",split_01,0
gul_braig_baug,0.4682,,0.077,AGN,"evil knowledge, magic, sorcery, necromancy  + fierce, wild + oppressive, cruel, tyrannous ",split_01,0
gwador_thurin_hal,0.1736,,0.231,SN Ia,"sworn brother + secret, hidden + fish",split_01,0
gwathui_adan_barad,0.3883,,0.011,SN II,"shadowy + Man +  fortress, fort, tower ",split_01,0
gwilwileth_aegas_ah,0.3542,,0.037,AGN,butterfly + mountain peak  + and,split_01,0
gwilwileth_ungol_aegas,0.8489,,0.083,AGN,butterfly + spider + mountain peak ,split_01,0
hand_gwathui_alae,0.8205,,0.042,AGN,intelligent + shadowy + Ah,split_01,0
hand_parf_gwathui,1.338,,0.097,AGN,intelligent + book + shadowy,split_01,0
helegnen_luith_raug,0.1821,,0.109,SN II,"frozen + spell +  demon, terrible creature",split_01,0
helegnen_tathar_hend,0.8018,,0.105,AGN,frozen + tathar + eye,split_01,0
hervess_calad_firiel,0.4009,,0.025,SN Ia,wife + light + mortal maiden,split_01,0
hervess_hend_lam,0.4506,,0.05,TDE,"wife + eye + tongue, dialect, language ",split_01,1
hud_fast_hend,0.1626,,0.037,SN II,assembly +  shaggy hair + eye,split_01,0
imrad_achas_glamor,0.8,,0.015,TDE,path + achas + echo,split_01,1
imrad_nothrim_Sindarin,0.4494,,0.014,SN Ia,path + family + English,split_01,0
ingem_hub_lembas,0.3257,,0.058,SN Ia,"year sick, old  + harbour, haven, small landlocked bay  + way-bread, journey-bread ",split_01,0
ingem_lost_acharn,0.5344,,0.125,AGN,"year sick, old  +  empty, void  + vengeance",split_01,0
ist_acharn_pendrath,0.2138,,0.07,SN Ia,"knowledge, lore  + vengeance + stairway",split_01,0
lagor_narthan_mindon,0.5087,,0.018,SN Ia,"swift + beacon, fire-sign  + isolated hill ",split_01,0
lang_lalaith_meldir,0.4382,,0.028,AGN,"cutlass, sword + laughter + friend",split_01,0
law_minuial_cabor,0.815,,0.014,AGN,"no! don't!  + dawn, morrowdim, twilight  + frog",split_01,0
lebdas_adab_aglareb,0.3968,,0.036,SN II,"  index finger  + building, house + glorious",split_01,0
limlug_mindon_iar,0.5887,,0.026,SN Ia,"sea serpent, fishdragon  + isolated hill  + blood",split_01,0
limlug_pess_gwend,0.3901,,0.082,AGN,"sea serpent, fishdragon  + feather + maiden",split_01,0
lobor_mithren_fang,0.312,,0.017,SN Ia,horse + grey + beard,split_01,0
lossen_pess_duin,0.1988,,0.028,SN II,"snowy + feather +  river, large rive with current ",split_01,0
lost_ungol_draug,0.1768,,0.129,SN Ia," empty, void  + spider + wolf",split_01,0
luith_gobennas_ang,1.131,,0.359,AGN,spell + history + iron,split_01,0
luith_saig_aranarth,0.6755,,0.06,AGN,"spell + hungry  + kingdom, realm",split_01,0
luithien_mindon_eirien,0.3436,,0.074,AGN,enchantress + isolated hill  + daisy,split_01,0
maethor_meldir_rhosc,0.2127,,0.194,AGN,"warrior + friend +  russet, red, brown",split_01,0
magor_elvellon_caras,0.1562,,0.05,SN II,"swordsman + Elf-friend + town, city ",split_01,0
malad_saer_balrog,0.2828,,0.058,AGN,gold + bitter  +  fire demon ,split_01,0
manadh_gaurwaith_lalaith,1.338,,0.053,AGN,"final end, fate, fortune + outlaws (wolf-people) + laughter",split_01,0
melethron_panas_aeglir,0.1916,,0.074,SN II, lover (masc.) + floor + range of mountain peaks,split_01,0
mereth_aiglos_ram,1.145,,0.035,AGN,"feast, festival  + plant, bush + wall",split_01,0
mindon_helegnen_galad,0.4303,,0.051,SN Ia,"isolated hill  + frozen +  light (bright), sunlight, brilliance, radiance, glittering reflection ",split_01,0
mithril_suil_cugu,0.179,,0.081,TDE," true-silver, metal  + hail  + dove",split_01,1
myril_thurin_ist,1.859,,0.083,AGN,"cat + secret, hidden + knowledge, lore ",split_01,0
nadhras_pethron_ulug,0.1769,,0.027,AGN,"pasture + narrator + bad, evil",split_01,0
narthan_cugu_mir,0.09049,,0.052,SN II,"beacon, fire-sign  + dove +  jewel, treasure",split_01,0
neledh_eglan_gwaloth,0.4354,,0.028,AGN,"enter, go in  + forsaken + blossom",split_01,0
nestad_agarwaen_saer,0.7086,,0.016,AGN,healing + bloodstain + bitter ,split_01,0
nimbrethil_adab_maethor,0.1475,,0.032,SN II,"silver birch (tree)  + building, house + warrior",split_01,0
